VEH_LIGEROS_TAR_DIF,VEH_LIGEROS_AUTOMOVILES,VEH_PESADOS_TAR_DIF,VEH_PESADOS__2E,VEH_PESADOS_3E,VEH_PESADOS_4E,VEH_PESADOS_5E,VEH_PESADOS_6E,VEH_PESADOS_7E,VEH_LIGEROS_TOTAL,VEH_LIGEROS_IMD,VEH_PESADOS_TOTAL,VEH_PESADOS_IMD,VEH_TOTAL,VEH_IMD,ANIO,MES,PERIODO,PBI,Feriados,No_Laborables_Fuera_de_Feriado,Fines_de_Semana,Pandemia,CODIGO_PEAJE,ADMINIST,DEPARTAMENTO
2640.000000000001,13851.999999999998,0.0,2887.999999999999,3030.0,881.0000000000001,384.00000000000017,4456.999999999998,18.999999999999996,16492.0,532.0,11659.0,376.1,28151.0,908.1,2017.0,12.0,201712.0,178.490146851098,2.0,0.0,10.0,0.0,22PE5NACS1,Concesionado,San Martín
2067.9999999999995,14361.000000000011,0.0,2845.999999999999,3212.9999999999995,920.0,389.00000000000006,3856.999999999997,21.000000000000004,16429.0,530.0,11246.0,362.8,27675.0,892.7,2018.0,1.0,201801.0,154.878571052228,1.0,2.0,8.0,0.0,22PE5NACS1,Concesionado,San Martín
1897.0000000000007,11882.000000000011,0.0,2711.0,3051.0,867.0000000000003,297.00000000000006,3793.0000000000014,14.0,13779.0,492.1,10733.0,383.3,24512.0,875.4,2018.0,2.0,201802.0,151.721683761965,0.0,0.0,8.0,0.0,22PE5NACS1,Concesionado,San Martín
2435.000000000001,11289.999999999995,0.0,2593.0000000000005,2448.9999999999995,749.9999999999998,227.00000000000006,3726.0,12.999999999999996,13725.0,442.7,9758.0,314.8,23483.0,757.5,2018.0,3.0,201803.0,161.648663902101,2.0,0.0,9.0,0.0,22PE5NACS1,Concesionado,San Martín
2474.0000000000005,10155.999999999993,0.0,2664.999999999999,2860.9999999999995,800.0000000000003,357.0,3745.9999999999977,12.999999999999996,12630.0,421.0,10442.0,348.1,23072.0,769.1,2018.0,4.0,201804.0,169.583314802061,0.0,0.0,9.0,0.0,22PE5NACS1,Concesionado,San Martín
2765.999999999999,11482.000000000005,0.0,2762.999999999999,2847.999999999999,889.9999999999997,339.0000000000001,4305.999999999996,12.0,14248.0,459.6,11158.0,359.9,25406.0,819.5,2018.0,5.0,201805.0,174.286488945202,1.0,0.0,8.0,0.0,22PE5NACS1,Concesionado,San Martín
2551.0,10989.999999999996,0.0,2549.999999999999,2845.999999999999,850.9999999999997,309.00000000000006,4096.000000000003,10.000000000000002,13541.0,451.4,10662.0,355.4,24203.0,806.8,2018.0,6.0,201806.0,165.553434285161,1.0,0.0,9.0,0.0,22PE5NACS1,Concesionado,San Martín
2847.000000000001,12852.000000000002,0.0,2680.9999999999995,3081.000000000002,933.0000000000002,317.0,4217.000000000003,21.000000000000004,15699.0,506.4,11250.0,362.9,26949.0,869.3,2018.0,7.0,201807.0,166.486346217518,2.0,0.0,9.0,0.0,22PE5NACS1,Concesionado,San Martín
2582.0,14482.999999999996,0.0,2744.0,3069.0000000000023,1002.0000000000003,344.00000000000017,4515.000000000004,12.999999999999996,17065.0,550.5,11687.0,377.0,28752.0,927.5,2018.0,8.0,201808.0,166.321564673298,1.0,1.0,8.0,0.0,22PE5NACS1,Concesionado,San Martín
2742.9999999999995,11193.000000000007,0.0,2659.0000000000005,2897.0,849.0000000000003,333.0000000000001,4430.000000000003,9.000000000000002,13936.0,464.5,11177.0,372.6,25113.0,837.1,2018.0,9.0,201809.0,167.951906873542,0.0,0.0,10.0,0.0,22PE5NACS1,Concesionado,San Martín
2752.999999999999,11935.0,0.0,2529.000000000001,2973.9999999999986,856.0000000000001,281.00000000000006,4098.000000000001,14.999999999999998,14688.0,473.8,10753.0,346.9,25441.0,820.7,2018.0,10.0,201810.0,171.404720851336,1.0,0.0,8.0,0.0,22PE5NACS1,Concesionado,San Martín
2413.0000000000005,11491.000000000004,0.0,2519.000000000001,2885.000000000001,853.9999999999998,321.00000000000006,4434.000000000004,28.000000000000004,13904.0,463.5,11041.0,368.0,24945.0,831.5,2018.0,11.0,201811.0,170.002534752015,1.0,1.0,8.0,0.0,22PE5NACS1,Concesionado,San Martín
3022.000000000002,14092.999999999993,0.0,2338.999999999999,2982.999999999999,861.9999999999998,366.0000000000001,4301.999999999998,14.0,17115.0,552.1,10866.0,350.5,27981.0,902.6,2018.0,12.0,201812.0,186.895277979967,2.0,0.0,10.0,0.0,22PE5NACS1,Concesionado,San Martín
2415.000000000001,14428.999999999993,0.0,2470.9999999999995,3220.0000000000014,913.9999999999997,320.0,4253.000000000002,16.999999999999996,16844.0,543.4,11195.0,361.1,28039.0,904.5,2019.0,1.0,201901.0,157.484236923596,1.0,0.0,8.0,0.0,22PE5NACS1,Concesionado,San Martín
2143.0,10622.99999999999,0.0,2410.999999999999,3011.9999999999986,913.9999999999997,355.9999999999999,3581.0000000000023,21.000000000000004,12766.0,455.9,10295.0,367.7,23061.0,823.6,2019.0,2.0,201902.0,154.880846702552,0.0,0.0,8.0,0.0,22PE5NACS1,Concesionado,San Martín
2820.999999999999,10262.000000000002,0.0,2641.9999999999995,3103.0000000000014,923.9999999999998,339.0000000000001,4020.9999999999973,3.999999999999999,13083.0,422.0,11033.0,355.9,24116.0,777.9,2019.0,3.0,201903.0,167.122085957657,0.0,0.0,10.0,0.0,22PE5NACS1,Concesionado,San Martín
2649.9999999999995,10429.000000000004,0.0,2368.999999999999,2771.0000000000005,811.9999999999997,333.99999999999994,3954.9999999999986,16.999999999999996,13079.0,436.0,10258.0,341.9,23337.0,777.9,2019.0,4.0,201904.0,169.577600190373,2.0,0.0,8.0,0.0,22PE5NACS1,Concesionado,San Martín
2944.0,10588.000000000002,0.0,2498.9999999999995,2841.0,854.9999999999999,405.99999999999983,4371.999999999997,9.000000000000002,13532.0,436.5,10982.0,354.3,24514.0,790.8,2019.0,5.0,201905.0,175.488524714574,1.0,0.0,8.0,0.0,22PE5NACS1,Concesionado,San Martín
2570.9999999999995,10548.999999999996,0.0,2341.999999999999,2687.9999999999995,796.0000000000001,282.0,4264.000000000001,21.000000000000004,13120.0,437.3,10393.0,346.4,23513.0,783.8,2019.0,6.0,201906.0,170.219820169421,1.0,0.0,9.0,0.0,22PE5NACS1,Concesionado,San Martín
2811.000000000001,13477.999999999993,0.0,2716.000000000001,3026.0000000000023,878.9999999999998,311.00000000000006,4637.000000000004,23.999999999999996,16289.0,525.5,11593.0,374.0,27882.0,899.4,2019.0,7.0,201907.0,173.029854821441,2.0,0.0,8.0,0.0,22PE5NACS1,Concesionado,San Martín
2423.0,14843.999999999995,0.0,2787.000000000001,3169.0000000000027,951.9999999999997,306.9999999999999,4201.000000000001,22.0,17267.0,557.0,11438.0,369.0,28705.0,926.0,2019.0,8.0,201908.0,172.500413631276,1.0,1.0,9.0,0.0,22PE5NACS1,Concesionado,San Martín
2484.999999999999,11376.000000000005,0.0,2465.0,2919.0000000000005,959.0000000000001,322.9999999999999,4110.000000000001,23.999999999999996,13861.0,462.0,10800.0,360.0,24661.0,822.0,2019.0,9.0,201909.0,172.202977149945,0.0,0.0,9.0,0.0,22PE5NACS1,Concesionado,San Martín
2397.0,11685.000000000002,0.0,2619.0,2964.9999999999995,956.9999999999998,383.0,4486.000000000004,37.99999999999999,14082.0,454.3,11448.0,369.3,25530.0,823.5,2019.0,10.0,201910.0,176.045083015976,1.0,1.0,8.0,0.0,22PE5NACS1,Concesionado,San Martín
2351.0,11470.000000000004,0.0,2609.999999999999,2925.0000000000005,939.0000000000001,269.00000000000006,4027.0000000000023,22.0,13821.0,460.7,10792.0,359.7,24613.0,820.4,2019.0,11.0,201911.0,173.929742506687,1.0,0.0,9.0,0.0,22PE5NACS1,Concesionado,San Martín
2678.0,14370.999999999993,0.0,2535.9999999999995,3072.000000000001,892.9999999999997,364.9999999999999,4118.000000000001,25.000000000000004,17049.0,550.0,11009.0,355.1,28058.0,905.1,2019.0,12.0,201912.0,189.212645230463,2.0,0.0,9.0,0.0,22PE5NACS1,Concesionado,San Martín
2365.0000000000005,17821.99999999999,0.0,2795.999999999999,3117.0000000000005,925.0000000000001,340.9999999999999,4449.999999999998,10.000000000000002,20187.0,651.2,11639.0,375.5,31826.0,1026.6,2021.0,1.0,202101.0,161.068110533387,1.0,0.0,10.0,0.0,22PE5NACS1,Concesionado,San Martín
1884.0000000000005,12331.999999999996,0.0,2539.0000000000005,2632.999999999999,903.9999999999997,367.99999999999994,4624.000000000004,26.0,14216.0,507.7,11094.0,396.2,25310.0,903.9,2021.0,2.0,202102.0,155.789280323745,0.0,0.0,8.0,0.0,22PE5NACS1,Concesionado,San Martín
2478.0,13944.000000000002,0.0,2641.9999999999995,2695.0000000000005,897.0000000000003,355.9999999999999,4456.999999999998,33.99999999999999,16422.0,529.7,11081.0,357.5,27503.0,887.2,2021.0,3.0,202103.0,165.062304614065,0.0,0.0,8.0,0.0,22PE5NACS1,Concesionado,San Martín
2202.999999999999,11577.0,0.0,2535.0,2574.999999999999,919.0000000000003,357.9999999999999,4071.0,17.999999999999996,13780.0,459.3,10476.0,349.2,24256.0,808.5,2021.0,4.0,202104.0,164.653055171669,2.0,0.0,8.0,0.0,22PE5NACS1,Concesionado,San Martín
2604.0000000000005,14670.000000000011,0.0,2659.0000000000005,2790.0000000000005,995.9999999999999,367.99999999999994,4564.999999999999,10.000000000000002,17274.0,557.2,11388.0,367.4,28662.0,924.6,2021.0,5.0,202105.0,175.435080957009,1.0,0.0,10.0,0.0,22PE5NACS1,Concesionado,San Martín
3266.000000000001,14877.99999999999,0.0,2599.9999999999995,2781.0000000000005,1048.0,315.9999999999999,4150.000000000002,21.000000000000004,18144.0,604.8,10916.0,363.9,29060.0,968.7,2021.0,6.0,202106.0,172.043849320032,1.0,0.0,8.0,0.0,22PE5NACS1,Concesionado,San Martín
