ID,ADMINIST,CODIGO_PEAJE,DEPARTAMENTO,NOMBRE_PEAJE,VEH_LIGEROS_TAR_DIF,VEH_LIGEROS_AUTOMOVILES,VEH_PESADOS_TAR_DIF,VEH_PESADOS__2E,VEH_PESADOS_3E,VEH_PESADOS_4E,VEH_PESADOS_5E,VEH_PESADOS_6E,VEH_PESADOS_7E,VEH_LIGEROS_TOTAL,VEH_LIGEROS_IMD,VEH_PESADOS_TOTAL,VEH_PESADOS_IMD,VEH_TOTAL,VEH_IMD,ANIO,MES,PERIODO
108,Concesionado,05PE30APGR1,Ayacucho,Pampa Galera,0,5979.0,0,2605.0,4051.0,340.0,940.0,4420.0,112.0,5979,213.5,12468,445.3,18447,658.8,2014,2,201402
109,Concesionado,03PE30APPR1,Apurímac,Pampamarca (Chalhuanca),0,6636.0,0,2250.0,3532.0,334.0,832.0,3507.0,89.0,6636,237.0,10544,376.6,17180,613.6,2014,2,201402
110,Concesionado,04PE34APTI1,Arequipa,Patahuasi,0,31145.0,0,17006.0,7177.0,2192.0,2914.0,20571.0,289.0,31145,1112.3,50149,1791.0,81294,2903.4,2014,2,201402
111,Concesionado,01PE08CPRS1,Amazonas,Pedro Ruiz,121,6305.0,0,1614.0,1527.0,440.0,203.0,1754.0,24.0,6426,229.5,5562,198.6,11988,428.1,2014,2,201402
112,Concesionado,03PE30APRH1,Apurímac,Pichirhua (Casinchihua),0,12491.0,0,2687.0,3446.0,345.0,808.0,3475.0,89.0,12491,446.1,10850,387.5,23341,833.6,2014,2,201402
113,Concesionado,20PE1NPSA1,Piura,Piura Sullana,0,112011.0,14163,23604.0,14835.0,3339.0,2546.0,17145.0,39.0,112011,4000.4,75671,2702.5,187682,6702.9,2014,2,201402
114,Concesionado,17PE30CPNN1,Madre de Dios,Planchón,0,14226.0,0,1248.0,346.0,43.0,242.0,872.0,2.0,14226,508.1,2753,98.3,16979,606.4,2014,2,201402
115,Concesionado,06PE3NPPU1,Cajamarca,Pomahuaca (Pucará),0,8164.0,0,4443.0,5224.0,1706.0,741.0,4537.0,65.0,8164,291.6,16716,597.0,24880,888.6,2014,2,201402
116,Concesionado,22PE5NBPGO1,San Martín,Pongo,0,16648.0,0,1528.0,1063.0,166.0,161.0,1666.0,14.0,16648,594.6,4598,164.2,21246,758.8,2014,2,201402
117,Concesionado,12PE3SQLA1,Junín,Quiulla-Concesión,0,51831.0,0,9185.0,11507.0,2354.0,1742.0,10033.0,53.0,51831,1851.1,34874,1245.5,86705,3096.6,2014,2,201402
118,Concesionado,21PE34BSGB1,Puno,San Gabán,895,4858.0,43,1001.0,1456.0,163.0,310.0,1680.0,47.0,5753,205.5,4700,167.9,10453,373.3,2014,2,201402
119,Concesionado,17PE30CSLZ1,Madre de Dios,San Lorenzo,0,4600.0,0,430.0,158.0,5.0,199.0,393.0,2.0,4600,164.3,1187,42.4,5787,206.7,2014,2,201402
120,Concesionado,21PE34ASLA1,Puno,Santa Lucía,249,20609.0,0,9027.0,6388.0,1833.0,2332.0,15216.0,70.0,20858,744.9,34866,1245.2,55724,1990.1,2014,2,201402
121,Concesionado,15PE1NASPY1,Lima,Serpentín de Pasamayo,0,1274.0,0,51849.0,29996.0,10638.0,10821.0,51490.0,442.0,1274,45.5,155236,5544.1,156510,5589.6,2014,2,201402
122,Concesionado,23PE1STMS1,Tacna,Tomasiri,0,16467.0,0,1661.0,2727.0,535.0,579.0,1886.0,20.0,16467,588.1,7408,264.6,23875,852.7,2014,2,201402
123,Concesionado,04PE34AVYO1,Arequipa,Uchumayo-Concesión,0,102085.0,0,46198.0,14464.0,4807.0,8629.0,28486.0,425.0,102085,3645.9,103009,3678.9,205094,7324.8,2014,2,201402
124,Concesionado,17PE30CUPO1,Madre de Dios,Unión Progreso,0,18599.0,0,1154.0,1535.0,538.0,455.0,1445.0,0.0,18599,664.2,5127,183.1,23726,847.4,2014,2,201402
125,Concesionado,01PE5NUTB1,Amazonas,Utcubamba (Bagua),0,12385.0,0,2618.0,2143.0,635.0,298.0,2077.0,26.0,12385,442.3,7797,278.5,20182,720.8,2014,2,201402
126,Concesionado,15PE1NVPY1,Lima,Variante de Pasamayo,0,190407.0,0,9060.0,6677.0,535.0,42.0,179.0,3.0,190407,6800.2,16496,589.1,206903,7389.4,2014,2,201402
127,Concesionado,02PE1NVSQ1,Áncash,Vesique (Km402+760),14998,43849.0,3128,9221.0,13900.0,4228.0,3022.0,15416.0,157.0,58847,2101.7,49072,1752.6,107919,3854.2,2014,2,201402
